chemin du fichier, nom du paquet, nom de la classe, tloc de la classe, tassert de la classe, tcmp
.\java\org\jfree\data\category\DefaultIntervalCategoryDatasetTest.java, org.jfree.data.category, DefaultIntervalCategoryDatasetTest.java, 304, 46, 6.608695652173913
.\java\org\jfree\data\category\SlidingCategoryDatasetTest.java, org.jfree.data.category, SlidingCategoryDatasetTest.java, 172, 42, 4.095238095238095
.\java\org\jfree\data\ComparableObjectItemTest.java, org.jfree.data, ComparableObjectItemTest.java, 60, 14, 4.285714285714286
.\java\org\jfree\data\ComparableObjectSeriesTest.java, org.jfree.data, ComparableObjectSeriesTest.java, 110, 34, 3.235294117647059
.\java\org\jfree\data\DataUtilsTest.java, org.jfree.data, DataUtilsTest.java, 154, 51, 3.019607843137255
.\java\org\jfree\data\DefaultKeyedValues2DTest.java, org.jfree.data, DefaultKeyedValues2DTest.java, 210, 48, 4.375
.\java\org\jfree\data\DefaultKeyedValuesTest.java, org.jfree.data, DefaultKeyedValuesTest.java, 308, 111, 2.774774774774775
.\java\org\jfree\data\DefaultKeyedValueTest.java, org.jfree.data, DefaultKeyedValueTest.java, 60, 16, 3.75
.\java\org\jfree\data\DomainOrderTest.java, org.jfree.data, DomainOrderTest.java, 36, 15, 2.4
.\java\org\jfree\data\flow\DefaultFlowDatasetTest.java, org.jfree.data.flow, DefaultFlowDatasetTest.java, 57, 14, 4.071428571428571
.\java\org\jfree\data\flow\FlowKeyTest.java, org.jfree.data.flow, FlowKeyTest.java, 35, 10, 3.5
.\java\org\jfree\data\flow\NodeKeyTest.java, org.jfree.data.flow, NodeKeyTest.java, 35, 10, 3.5
.\java\org\jfree\data\function\LineFunction2DTest.java, org.jfree.data.function, LineFunction2DTest.java, 36, 7, 5.142857142857143
.\java\org\jfree\data\function\NormalDistributionFunction2DTest.java, org.jfree.data.function, NormalDistributionFunction2DTest.java, 42, 7, 6.0
.\java\org\jfree\data\function\PolynomialFunction2DTest.java, org.jfree.data.function, PolynomialFunction2DTest.java, 63, 10, 6.3
.\java\org\jfree\data\function\PowerFunction2DTest.java, org.jfree.data.function, PowerFunction2DTest.java, 35, 7, 5.0
.\java\org\jfree\data\gantt\SlidingGanttCategoryDatasetTest.java, org.jfree.data.gantt, SlidingGanttCategoryDatasetTest.java, 108, 17, 6.352941176470588
.\java\org\jfree\data\gantt\TaskSeriesCollectionTest.java, org.jfree.data.gantt, TaskSeriesCollectionTest.java, 430, 135, 3.185185185185185
.\java\org\jfree\data\gantt\TaskSeriesTest.java, org.jfree.data.gantt, TaskSeriesTest.java, 57, 13, 4.384615384615385
.\java\org\jfree\data\gantt\TaskTest.java, org.jfree.data.gantt, TaskTest.java, 60, 19, 3.1578947368421053
.\java\org\jfree\data\gantt\XYTaskDatasetTest.java, org.jfree.data.gantt, XYTaskDatasetTest.java, 72, 15, 4.8
.\java\org\jfree\data\general\DatasetUtilsTest.java, org.jfree.data.general, DatasetUtilsTest.java, 1045, 265, 3.943396226415094
.\java\org\jfree\data\general\DefaultHeatMapDatasetTest.java, org.jfree.data.general, DefaultHeatMapDatasetTest.java, 108, 38, 2.8421052631578947
.\java\org\jfree\data\general\DefaultKeyedValueDatasetTest.java, org.jfree.data.general, DefaultKeyedValueDatasetTest.java, 45, 11, 4.090909090909091
.\java\org\jfree\data\general\DefaultKeyedValues2DDatasetTest.java, org.jfree.data.general, DefaultKeyedValues2DDatasetTest.java, 28, 4, 7.0
.\java\org\jfree\data\general\DefaultKeyedValuesDatasetTest.java, org.jfree.data.general, DefaultKeyedValuesDatasetTest.java, 28, 4, 7.0
.\java\org\jfree\data\general\DefaultPieDatasetTest.java, org.jfree.data.general, DefaultPieDatasetTest.java, 96, 20, 4.8
.\java\org\jfree\data\KeyedObjects2DTest.java, org.jfree.data, KeyedObjects2DTest.java, 263, 51, 5.1568627450980395
.\java\org\jfree\data\KeyedObjectsTest.java, org.jfree.data, KeyedObjectsTest.java, 223, 55, 4.054545454545455
.\java\org\jfree\data\KeyedObjectTest.java, org.jfree.data, KeyedObjectTest.java, 53, 16, 3.3125
.\java\org\jfree\data\KeyToGroupMapTest.java, org.jfree.data, KeyToGroupMapTest.java, 124, 37, 3.3513513513513513
.\java\org\jfree\data\RangeTest.java, org.jfree.data, RangeTest.java, 213, 87, 2.4482758620689653
.\java\org\jfree\data\RangeTypeTest.java, org.jfree.data, RangeTypeTest.java, 36, 15, 2.4
.\java\org\jfree\data\statistics\BoxAndWhiskerCalculatorTest.java, org.jfree.data.statistics, BoxAndWhiskerCalculatorTest.java, 93, 19, 4.894736842105263
.\java\org\jfree\data\statistics\BoxAndWhiskerItemTest.java, org.jfree.data.statistics, BoxAndWhiskerItemTest.java, 24, 3, 8.0
.\java\org\jfree\data\statistics\DefaultBoxAndWhiskerCategoryDatasetTest.java, org.jfree.data.statistics, DefaultBoxAndWhiskerCategoryDatasetTest.java, 172, 47, 3.6595744680851063
.\java\org\jfree\data\statistics\DefaultBoxAndWhiskerXYDatasetTest.java, org.jfree.data.statistics, DefaultBoxAndWhiskerXYDatasetTest.java, 97, 29, 3.3448275862068964
.\java\org\jfree\data\statistics\DefaultMultiValueCategoryDatasetTest.java, org.jfree.data.statistics, DefaultMultiValueCategoryDatasetTest.java, 152, 32, 4.75
.\java\org\jfree\data\statistics\DefaultStatisticalCategoryDatasetTest.java, org.jfree.data.statistics, DefaultStatisticalCategoryDatasetTest.java, 159, 47, 3.382978723404255
.\java\org\jfree\data\statistics\HistogramBinTest.java, org.jfree.data.statistics, HistogramBinTest.java, 33, 5, 6.6
.\java\org\jfree\data\statistics\HistogramDatasetTest.java, org.jfree.data.statistics, HistogramDatasetTest.java, 141, 51, 2.764705882352941
.\java\org\jfree\data\statistics\MeanAndStandardDeviationTest.java, org.jfree.data.statistics, MeanAndStandardDeviationTest.java, 32, 8, 4.0
.\java\org\jfree\data\statistics\RegressionTest.java, org.jfree.data.statistics, RegressionTest.java, 134, 16, 8.375
.\java\org\jfree\data\statistics\SimpleHistogramBinTest.java, org.jfree.data.statistics, SimpleHistogramBinTest.java, 89, 39, 2.282051282051282
.\java\org\jfree\data\statistics\SimpleHistogramDatasetTest.java, org.jfree.data.statistics, SimpleHistogramDatasetTest.java, 54, 12, 4.5
.\java\org\jfree\data\statistics\StatisticsTest.java, org.jfree.data.statistics, StatisticsTest.java, 296, 47, 6.297872340425532
.\java\org\jfree\data\time\DateRangeTest.java, org.jfree.data.time, DateRangeTest.java, 43, 10, 4.3
.\java\org\jfree\data\time\DayTest.java, org.jfree.data.time, DayTest.java, 360, 61, 5.901639344262295
.\java\org\jfree\data\time\FixedMillisecondTest.java, org.jfree.data.time, FixedMillisecondTest.java, 36, 5, 7.2
.\java\org\jfree\data\time\HourTest.java, org.jfree.data.time, HourTest.java, 328, 64, 5.125
.\java\org\jfree\data\time\MillisecondTest.java, org.jfree.data.time, MillisecondTest.java, 335, 79, 4.2405063291139244
.\java\org\jfree\data\time\MinuteTest.java, org.jfree.data.time, MinuteTest.java, 318, 64, 4.96875
.\java\org\jfree\data\time\MonthTest.java, org.jfree.data.time, MonthTest.java, 374, 58, 6.448275862068965
.\java\org\jfree\data\time\MovingAverageTest.java, org.jfree.data.time, MovingAverageTest.java, 41, 8, 5.125
.\java\org\jfree\data\time\ohlc\OHLCItemTest.java, org.jfree.data.time.ohlc, OHLCItemTest.java, 68, 23, 2.9565217391304346
.\java\org\jfree\data\time\ohlc\OHLCSeriesCollectionTest.java, org.jfree.data.time.ohlc, OHLCSeriesCollectionTest.java, 138, 24, 5.75
.\java\org\jfree\data\time\ohlc\OHLCSeriesTest.java, org.jfree.data.time.ohlc, OHLCSeriesTest.java, 146, 36, 4.055555555555555
.\java\org\jfree\data\time\ohlc\OHLCTest.java, org.jfree.data.time.ohlc, OHLCTest.java, 48, 13, 3.6923076923076925
.\java\org\jfree\data\time\QuarterTest.java, org.jfree.data.time, QuarterTest.java, 388, 60, 6.466666666666667
.\java\org\jfree\data\time\SecondTest.java, org.jfree.data.time, SecondTest.java, 314, 69, 4.550724637681159
.\java\org\jfree\data\time\SimpleTimePeriodTest.java, org.jfree.data.time, SimpleTimePeriodTest.java, 95, 21, 4.523809523809524
.\java\org\jfree\data\time\TimePeriodAnchorTest.java, org.jfree.data.time, TimePeriodAnchorTest.java, 18, 4, 4.5
.\java\org\jfree\data\time\TimePeriodValuesCollectionTest.java, org.jfree.data.time, TimePeriodValuesCollectionTest.java, 109, 26, 4.1923076923076925
.\java\org\jfree\data\time\TimePeriodValuesTest.java, org.jfree.data.time, TimePeriodValuesTest.java, 172, 39, 4.410256410256411
.\java\org\jfree\data\time\TimePeriodValueTest.java, org.jfree.data.time, TimePeriodValueTest.java, 34, 7, 4.857142857142857
